puzzle_id,accuracy,pred_perm,gt_perm,mapping_new2old,mapping_old2new
test_puzzle_000,0.0,"[0, 1, 2, 7, 8, 3, 4, 5, 6]","[6, 4, 0, 8, 3, 7, 2, 1, 5]","{0: 2, 1: 7, 2: 6, 3: 4, 4: 1, 5: 8, 6: 0, 7: 5, 8: 3}","{0: 6, 1: 4, 2: 0, 3: 8, 4: 3, 5: 7, 6: 2, 7: 1, 8: 5}"
test_puzzle_001,0.0,"[0, 1, 2, 3, 8, 4, 6, 7, 5]","[4, 0, 5, 8, 6, 2, 7, 3, 1]","{0: 1, 1: 8, 2: 5, 3: 7, 4: 0, 5: 2, 6: 4, 7: 6, 8: 3}","{0: 4, 1: 0, 2: 5, 3: 8, 4: 6, 5: 2, 6: 7, 7: 3, 8: 1}"
test_puzzle_002,0.1111111111111111,"[0, 1, 2, 8, 4, 5, 7, 2, 3]","[0, 4, 3, 7, 1, 2, 5, 6, 8]","{0: 0, 1: 4, 2: 5, 3: 2, 4: 1, 5: 6, 6: 7, 7: 3, 8: 8}","{0: 0, 1: 4, 2: 3, 3: 7, 4: 1, 5: 2, 6: 5, 7: 6, 8: 8}"
test_puzzle_003,0.0,"[0, 1, 2, 3, 8, 4, 2, 7, 5]","[6, 4, 1, 8, 3, 0, 5, 2, 7]","{0: 5, 1: 2, 2: 7, 3: 4, 4: 1, 5: 6, 6: 0, 7: 8, 8: 3}","{0: 6, 1: 4, 2: 1, 3: 8, 4: 3, 5: 0, 6: 5, 7: 2, 8: 7}"
test_puzzle_004,0.0,"[0, 1, 2, 8, 7, 2, 3, 4, 5]","[5, 3, 7, 6, 1, 0, 8, 2, 4]","{0: 5, 1: 4, 2: 7, 3: 1, 4: 8, 5: 0, 6: 3, 7: 2, 8: 6}","{0: 5, 1: 3, 2: 7, 3: 6, 4: 1, 5: 0, 6: 8, 7: 2, 8: 4}"
test_puzzle_005,0.0,"[0, 1, 2, 3, 4, 5, 2, 7, 8]","[1, 8, 6, 0, 5, 7, 4, 2, 3]","{0: 3, 1: 0, 2: 7, 3: 8, 4: 6, 5: 4, 6: 2, 7: 5, 8: 1}","{0: 1, 1: 8, 2: 6, 3: 0, 4: 5, 5: 7, 6: 4, 7: 2, 8: 3}"
test_puzzle_006,0.0,"[0, 1, 2, 7, 8, 4, 3, 6, 5]","[2, 5, 7, 6, 3, 1, 8, 4, 0]","{0: 8, 1: 5, 2: 0, 3: 4, 4: 7, 5: 1, 6: 3, 7: 2, 8: 6}","{0: 2, 1: 5, 2: 7, 3: 6, 4: 3, 5: 1, 6: 8, 7: 4, 8: 0}"
test_puzzle_007,0.1111111111111111,"[0, 1, 2, 4, 8, 3, 7, 6, 5]","[4, 5, 2, 0, 7, 6, 1, 8, 3]","{0: 3, 1: 6, 2: 2, 3: 8, 4: 0, 5: 1, 6: 5, 7: 4, 8: 7}","{0: 4, 1: 5, 2: 2, 3: 0, 4: 7, 5: 6, 6: 1, 7: 8, 8: 3}"
test_puzzle_008,0.2222222222222222,"[1, 0, 8, 2, 7, 6, 6, 6, 6]","[4, 0, 3, 5, 2, 6, 8, 1, 7]","{0: 1, 1: 7, 2: 4, 3: 2, 4: 0, 5: 3, 6: 5, 7: 8, 8: 6}","{0: 4, 1: 0, 2: 3, 3: 5, 4: 2, 5: 6, 6: 8, 7: 1, 8: 7}"
test_puzzle_009,0.1111111111111111,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[8, 1, 6, 2, 3, 4, 5, 0, 7]","{0: 7, 1: 1, 2: 3, 3: 4, 4: 5, 5: 6, 6: 2, 7: 8, 8: 0}","{0: 8, 1: 1, 2: 6, 3: 2, 4: 3, 5: 4, 6: 5, 7: 0, 8: 7}"
test_puzzle_010,0.1111111111111111,"[0, 1, 8, 4, 7, 5, 2, 3, 6]","[4, 3, 2, 6, 7, 1, 8, 0, 5]","{0: 7, 1: 5, 2: 2, 3: 1, 4: 0, 5: 8, 6: 3, 7: 4, 8: 6}","{0: 4, 1: 3, 2: 2, 3: 6, 4: 7, 5: 1, 6: 8, 7: 0, 8: 5}"
test_puzzle_011,0.0,"[0, 1, 2, 7, 8, 3, 4, 5, 6]","[1, 4, 0, 3, 6, 8, 2, 7, 5]","{0: 2, 1: 0, 2: 6, 3: 3, 4: 1, 5: 8, 6: 4, 7: 7, 8: 5}","{0: 1, 1: 4, 2: 0, 3: 3, 4: 6, 5: 8, 6: 2, 7: 7, 8: 5}"
